Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Total ($)
PCBA,PCB,"5 PCB, 2 PCBA",96.66,96.66,https://jlcpcb.com/,96.66
BMI270 Breadout Board,IMU,1,3.46,3.46,https://evelta.com/7semi-bmi270-nano-6-axis-imu-sensor-board-qwiic/,100.12
2805 140KV BLDC Motors,Motors,3,11.88,35.64,https://www.electropi.in/2805-140kv-gimbal-brushless-motor,135.76
3.6v 2600mah 18650 Li-Ion Battery,Battery,3,2.4,7.2,https://robu.in/product/bak-nmc-18650-2600mah-3c-lithium-ion-3-6v-battery/,142.96
18650 3Ã—1 Cell Spacer,Cell Spacer,2,0.011,0.022,https://robu.in/product/18650-3x1-battery-cell-spacer-holder/,142.982
3S 10A Li-ion 18650 BMS,BMS,1,1.48,1.48,https://robu.in/product/3s-6a-li-ion-18650-charger-protection-board-module-10-8v-11-1v-12-6v/,144.462
DS-316 10MM Momentary Push Button,Push Buttons,3,0.25,0.75,https://robu.in/product/red-ds-316-10mm-lock-free-momentary-self-reset-small-push-button-switch/,145.212
3A 250V Rocker Swtich,Power Botton,1,0.27,0.27,https://robu.in/product/1-month-warranty-1217/,145.482
3mm LED Orange,LED,8,0.014,0.112,https://robu.in/product/3mm-dip-led-orange-50-pcs/,145.594
30AWG Silicon Wire (Red),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-1000-m-red/,145.869
30AWG Silicon Wire (Black),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-1000-m-black/,146.144
30AWG Silicon Wire (Yellow),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-yellow/,146.419
30AWG Silicon Wire (Green),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-green/,146.694
Universal Mobile Holder,Mobile Holder,1,1.54,1.54,https://www.amazon.in/gp/product/B07S9KNGVS,148.234
M2 and M3 Screws,Mounting Screws,1,4.41,4.41,https://www.amazon.in/gp/product/B0FP53QGD2/,152.644
3M VHB Tape,Mounting PCB,1,1.22,1.22,https://onlyscrews.in/products/3m%E2%84%A2-foam-tape-12mm-x-5meters,153.864
M3 x 10mm Screws,Mounting Screws,4,0.015,0.06,https://onlyscrews.in/products/phillips-csk-m3-x-8mm-pack-of-20?,153.924
M3 x 8mm Inserts,Mounting Inserts,4,0.029,0.116,https://onlyscrews.in/products/m3-x-8mm-brass-threaded-inserts?,154.04
M3 x 25mm Screws,Mounting Screws,3,0.026,0.078,https://onlyscrews.in/products/m3-x-25mm-phillips-csk-ss-304-screw?,154.118
M3 Nylock Nuts,Mounting Nuts,3,0.033,0.099,https://onlyscrews.in/products/m3-nyloc-nuts-ss304?,154.217
"1/4"" - 20 D-Ring",Tripod/Clamp Mounting screw,1,4.42,4.42,https://www.amazon.in/SHOPEE-Mounting-Adapter-Camcorder-Stainless/dp/B09S3XQ8R9/,158.637
,,,,,,
Platform,Total Shipping + Tax ($),Running Total ($),,,,
JLCPCB,13.93,172.567,,,,
Amazon,0,172.567,,,,
Robu,0,172.567,,,,
Evalta,0.5,173.067,,,,
Electropi,0,173.067,,,,
Only Screws,1.83,174.897,,,,
Price Buffer,2,176.897,,,,
Printing Legion (3D Printing),15,191.897,,,,
